IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.118.131.247,80,0,false,LAX,North America,Los Angeles,184,0.00
20.230.159.201,80,0,false,SEA,North America,Seattle,161,0.00
20.55.38.130,80,0,false,IAD,North America,Ashburn,233,0.00
4.227.245.157,8080,0,false,IAD,North America,Ashburn,229,0.00
20.172.220.126,80,0,false,IAD,North America,Ashburn,232,0.00
4.227.214.97,80,0,false,IAD,North America,Ashburn,225,0.00
172.167.242.53,80,0,false,LHR,Europe,London,156,0.00
20.230.56.138,80,0,false,IAD,North America,Ashburn,231,0.00
20.222.251.148,80,0,false,NRT,Asia Pacific,Tokyo,71,0.00
4.216.236.188,80,0,false,LAX,North America,Los Angeles,122,0.00
20.2.219.45,80,0,false,HKG,Asia Pacific,Hong Kong,31,0.00
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,32,0.00
23.97.77.59,2087,443,true,HKG,Asia Pacific,Hong Kong,33,0.00
20.193.145.135,80,0,false,BOM,Asia Pacific,Mumbai,68,0.00
20.46.155.15,443,443,true,BOM,Asia Pacific,Mumbai,87,0.00
20.46.144.137,2083,0,true,BOM,Asia Pacific,Mumbai,91,0.00
20.33.18.23,443,443,true,MXP,Europe,Milan,147,0.00
51.116.109.243,80,0,false,EWR,North America,Newark,155,0.00
4.250.49.134,8080,80,false,LHR,Europe,London,155,0.00
4.232.169.141,8443,443,true,MRS,Europe,Marseille,156,0.00
51.143.133.204,8443,0,true,LHR,Europe,London,156,0.00
51.143.133.204,2053,443,true,LHR,Europe,London,157,0.00
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.00
20.157.97.123,80,80,false,AMS,Europe,Amsterdam,159,0.00
20.13.168.204,8080,0,false,LHR,Europe,London,164,0.00
20.254.151.137,2053,443,true,LHR,Europe,London,169,0.00
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,0.00
4.235.33.25,2083,443,true,ARN,Europe,Stockholm,174,0.00
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,175,0.00
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,175,0.00
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,175,0.00
51.12.208.66,80,80,false,ARN,Europe,Stockholm,178,0.00
20.157.97.104,80,80,false,AMS,Europe,Amsterdam,178,0.00
20.33.24.82,2087,443,true,LHR,Europe,London,181,0.00
20.14.94.144,2053,8443,true,LAX,North America,Los Angeles,184,0.00
20.157.221.56,80,0,false,AMS,Europe,Amsterdam,196,0.00
20.104.218.53,80,0,false,YYZ,North America,Toronto,223,0.00
20.102.24.191,80,0,false,IAD,North America,Ashburn,232,0.00
20.127.29.116,8443,8443,true,IAD,North America,Ashburn,232,0.00
20.22.128.5,80,0,false,IAD,North America,Ashburn,234,0.00
52.252.14.249,443,443,true,IAD,North America,Ashburn,249,0.00
